id,color,size
ceddisss,#76dc00,25.0
blvckbvrnez,#088200,22.585571991120794
dandrael,#e0eb00,18.821197993993152
vellrus,#7a2b00,17.9714305679479
axel_reisen,#f0b200,17.859180831461998
dyadya_danilo,#b5ff00,17.576499692142278
linalucker,#a5e800,16.604069350306897
evgeniyleet,#ffad00,16.124101339359743
justreyb,#efa600,15.91805676977835
cybernytik,#5a4400,15.500199751176499
seeoma,#4e5300,13.91624848265458
pandadrummer,#143b00,13.82323536089298
chlore,#202f00,12.341147015771503
roman_dmt,#3b4900,12.048675965459486
n14t0,#c45300,11.533810129567128
jetviolett,#171b00,11.186446953107007
ne_cott3r,#171800,10.565454305053377
juliam7,#235600,10.449902458349733
xseix,#191b00,10.091555142146525
teemok,#835e00,9.940021684234397
ruriir_,#316200,9.92856344217304
l3rva_,#3f3900,9.60218300216121
maxisolo,#4a2b00,9.578444565345858
reactistov,#582800,9.570518668609704
fahafatesanat_t,#131a00,9.186164819409882
prosto_oleja,#1c1d00,9.144766840296164
truephotoonelove,#010f00,9.065589879539646
hellknight719,#142000,9.027842637675212
kiraschmidtq,#221500,8.964577368825108
l3rra,#584c00,8.862413606873181
mintywrinkles3,#050c00,8.810887509672947
addict_v4,#433b00,8.606107141791133
poill,#4a4600,8.450388026300693
vaicel_nick,#000100,8.157961217654313
chevapchi4i,#181100,7.96974761989474
retabokainrou,#0f2300,7.9411308394477285
wtwrite,#1f2900,7.820767238210652
sbermarketeda,#010a00,7.811058026226175
strandedorange,#051200,7.693591815706887
janzepp,#4e3f00,7.604301459038938
oxhof,#1b2000,7.082434543820966
memerald_,#221100,7.02865673806347
jijle,#051400,6.908872251269475
4rib,#050c00,6.881357716422654
dcayorcus,#3b4f00,6.708249182224882
moonofmays,#111200,6.6742257210279226
mister_mojo_risin,#0b0c00,6.147471317052049
t1tnnox,#171500,5.933908290969267
megumeme217,#051200,5.712366551376928
otismatus,#0e0900,4.896946744766395
camissado,#010400,4.195906791483446
marlenbrando,#0a0a00,3.963391853937506
v0id_mg,#130f00,3.8170904755956405
11maxlaiter,#000100,3.736721675224978
jujabanda,#000200,3.6958819607372155
ezhevika_,#060700,3.4953830646059587
pink4donald,#040100,3.4074348045923566
sanin_fanat,#000100,3.3962811419181724
relysed,#060600,3.2941992079356504
hhj0gd,#050400,3.176930105554791
happy_sand,#030300,3.164964224597496
nemar1na,#080a00,3.116641322415628
yobreek,#080700,3.116641322415628
deadkafka,#020000,3.0427183597892435
vladislavkosmach,#020700,2.9797152974750456
tmooor,#010000,2.7270611571136745
leychick,#090b00,2.71311190370759
sobakapovodyr,#010100,2.5546479842549714
glebiy0071,#010100,2.524768032564832
iamhere13666,#030100,2.463921307158144
rb934h,#030600,2.3856815472472754
jusrlynx,#010100,2.2882653537747895
kaorysil,#030300,2.2882653537747895
korgalum,#060c00,2.2882653537747895
nekotash,#000000,2.254858227048735
s1iska,#060200,2.254858227048735
sadankorch,#000100,2.254858227048735
pestaz,#000000,2.220948652916736
ahkind,#060600,2.186513254864001
pam_cake222,#020000,2.169090560833646
ernest671,#020000,2.169090560833646
tinynyanta,#000100,2.1515267854477833
ia_sluha_daute_vrot,#000100,2.097953395741723
freakebaniy,#000100,2.0614644662248067
andiya,#080200,2.0054866461067453
karrp_,#020200,1.9864768649833637
kalemon_kak,#010100,1.888559920183204
bog_mamok,#000100,1.888559920183204
qutmij,#020000,1.8479409803686078
imher3,#020200,1.7852805967496106
titannnox,#010200,1.7638992194942138
lodadji,#000000,1.7638992194942138
princessnekomom,#020200,1.742255464601546
shmulke02,#020000,1.7203394291056635
yabedaras,#020200,1.7203394291056635
dariamilk,#010200,1.675647649757819
blams_pams,#020100,1.6528486602047248
penkinapepega,#000000,1.582482112298748
streamelements,#040000,1.582482112298748
waxmant73,#010000,1.5088374922271985
4eptula_oboccahka,#020000,1.4834770727423168
animmih,#000000,1.4834770727423168
hiniziki,#000000,1.4576755032426674
tezian2101,#030100,1.4576755032426674
virusfur_mh,#010200,1.431408928348365
vemeroge_,#000000,1.431408928348365
ultionesx,#010200,1.431408928348365
banshiva,#050600,1.431408928348365
mops_567,#000000,1.4046512618999303
mishk397,#050500,1.4046512618999303
wendy_levitar,#000100,1.3773738835039373
llllsedoyllll,#010100,1.3773738835039373
s3nderell,#030200,1.3773738835039373
fckthwht,#010100,1.3773738835039373
ksushiroyama,#030100,1.3495452798481304
lgbtqiaplus_kotik,#000000,1.3495452798481304
doktor_polyakov,#000000,1.3211306179791689
graybasalt,#000100,1.3211306179791689
vdaline,#000100,1.3211306179791689
kajdomu_lektoru_povectoru,#000000,1.262384016282416
lesuanbao,#010100,1.262384016282416
inhumanwaif78,#010100,1.231960653579072
handehoch27,#010000,1.1687404959058605
ne_razdevaisya_ya_po_delu,#010100,1.1687404959058605
vosvoia,#010000,1.1687404959058605
heinzcoh,#000000,1.1687404959058605
pokushoi,#000000,1.1687404959058605
animun4ik,#000000,1.1358116015307858
ars_kit,#010200,1.1358116015307858
mishel0vka__,#000000,1.1018991068031498
vagrchannel,#000100,1.1018991068031498
banner_song,#000000,1.1018991068031498
the_glist,#010000,1.1018991068031498
ludachyo,#010100,1.1018991068031498
s10gg,#000000,1.0669092224623569
palnasral,#000100,1.0669092224623569
scvaersoftltd,#000000,1.0669092224623569
truephoto0nelove,#000000,1.0669092224623569
